date,text
2018-03-29 16:14:00.000,Melaporkan nomor penipuan +6281270687004 mengatasnamakan telkomsel dgn modus meminta menyebutkan 4 digit password dari sms di kartu halo @Telkomsel @DivHumas_Polri @e100ss @CCICPolri @LAPOR1708
2018-03-29 15:45:00.000,Mantap @IndosatCare berhari hari dan berkali kali di DM sama sekali tidak ada balasan. Pulsa habis terpotong entah buat apa Cc : @LAPOR1708 @YLKI_ID @kemkominfo
2018-03-29 15:45:00.000,Setelah isi pulsa @IndosatCare 100rb berkurang menjadi 93.150 dan sekarang cek pulsa menjadi 87.650 sebenernya ini knp sih @kemkominfo @YLKI_ID @LAPOR1708 @DivHumas_Polri #AdaApaDenganIndosat pic.twitter.com/9GHQTc8TRs
2018-03-29 15:32:00.000,Nih full videonya biar yg gk ngerasain langsung di lokasi gk asal komen sotoy nyalah2in penumpangnya @CommuterLine @RailinkARS @detikcom @NET_CJ @netmediatama @jokowi @LAPOR1708 https:// twitter.com/_ibaadurrahmaa n/status/979260755659796480 …
2018-03-29 13:37:00.000,@LAPOR1708 @PLNindo mau tanya apakah pemasangan KWH baru memang seperti ini y??trus kabel itu yg tdk tersambung memang seperti itu atau bgmna? Mhon pnjelasan...trmksh pic.twitter.com/rhQk1VNgbn
2018-03-29 13:24:00.000,Ini sdh perbuatan zolim benarkah polisi tidak bisa bertindak??? Pak Polisi mohon klarifikasinya. Kalo ini benar terjadi bagaimana keadilan dan spremasi hukum di negara ini. @DivHumas_Polri @KomnasHAM @jokowi @OmbudsmanRI137 @LAPOR1708
2018-03-29 13:16:00.000,Mohon maaf keluhan sudah kami follow up melalui pesan Sahabat. :) ^ad
2018-03-29 13:13:00.000,Mohon maaf atas ketidaknyamannya keluhan sudah kami follow up melalui pesan silahkan cek pesan Sahabat. :) ^ad
2018-03-29 13:05:00.000,@GoldenBeard88 Laporan Anda telah diteruskan. Pantau tindaklanjutnya di https:// lapor.go.id !1954067
2018-03-29 12:29:00.000,Saya rasa kasus ini kalo tidak ada coorperatif Dr Alfamart atasa penipuan ini sehingga saya dirugikan dan sy yakin banyak jg masyarakat yg ditipu perlu dibawa ke polisi agar ada jera n jd pembelajaran utk tdk curang n nipu!
2018-03-29 12:27:00.000,KLw petugas Anda cuma mau kasih bonus karna pembelian sy yg dia tidak kasih lalu bagaimana dg label diskon yg dia copot setelah saya pertanyakan harga berbeda antara rak dg kasir serta harga promo yg tebus 50 rb dg harga distruk? Serta bonus Stamp yg gk da jg?
2018-03-29 12:24:00.000,Mohon maaf bisa infokan bentuk wa nya melalui pesan agar kami tidak lanjuti Sahabat. :) ^ad
2018-03-29 12:11:00.000,@HumasMetroJaya mhn informasinya berapa biaya perpanjangan SIM untuk Jakarta? @DivHumas_Polri @LAPOR1708
2018-03-29 11:50:00.000,Kami Kota Tual juga kira2 gimana caranya terhubung dgn LAPOR
2018-03-29 10:55:00.000,Halo silakan buka kembali laporan Anda dan menanyakan tindaklanjutnya ke instansi tersebut. Terima kasih #AyoLAPOR #MudaMelapor
2018-03-29 10:52:00.000,Halo Ishaq Universitas Hasanuddin (UNHAS) Makassar sudah terhubung dengan LAPOR! dan kamu dapat menyampaikan laporan kepada mereka melalui LAPOR!. PTN negeri lainnya juga sudah terhubung dengan LAPOR! Terima kasih #AyoLAPOR #MudaMelapor https:// twitter.com/thepappito/sta tus/978616681479090179 …
2018-03-29 09:44:00.000,Kenopo si kui sebabe kak?
2018-03-29 08:59:00.000,Itulah trans Jakarta mbak sy ja buat aduan bagaimana real TransJakarta atasan mereka tak coorperatif membantu bahkan mention @aniesbaswedan @jokowi @sandiuno @kemenhub151 @DivHumas_Polri @qluesmartcity @DKIJakarta @CNNIndonesia @LAPOR1708 Tak jua ada Tindakan nyata n membantu
2018-03-29 08:55:00.000,@kemkominfo @aniesbaswedan @DivHumas_Polri @DKIJakarta @kemenhub151 @CNNIndonesia @sandiuno @detikcom @tribunnews @jokowi @qluesmartcity @LAPOR1708 Tolong aduan2 masyarakat dibantu karna pihak TransJakarta sangat tidak coorperatif bahkan aduan2 sy sj tak 
2018-03-29 08:27:00.000,Dear @kemenhub151 @KemenBUMN @LAPOR1708 @OmbudsmanRI137 ini Stasiun Duri Saga by @CommuterLine mau diteruskan sampe hari ke berapa? Atau sampe ada kejadian apa? *smh https:// twitter.com/antoniarika/st atus/979159539063779328 …
2018-03-29 08:04:00.000,Blm ckp dibuat menderita dg perpi dahan peron yg acak adut di duri 28 mar ini ditambah dg perjlnan krl duri tng yg hanya 30mnt skali. Slamat utk krl sdh bikin penumpangnya tambah menderita.
2018-03-29 07:57:00.000,@detikcom @kompascom @republikaonline @KAI121 @CommuterLine @LAPOR1708 @jokowi apa benar perubahan jdwl kcl tgr-duri yg 20mntan&sdh sgt pdt jd 30mntan u ksih jalan ka bandara aka ka orang kaya? Apa sudah ada kajian dampaknya seblmnya? mau tau efek kbjakan
2018-03-29 07:37:00.000,Setuju bang balasan email kai yg katanya untuk mndkung program pemerintah yg meningkatkan rute perjlanan ka bandara jg gk make sense.Kita semua jg mendkung program pmrntah yg mndorong menggnakan transport publik. Lah ini malah disiksa orang2nya.Mnding naik mbil biar macet sklian
2018-03-29 07:06:00.000,Keadaan krl Tangerang-Duri. Mohon kebijakan nya pak @jokowi @BudiKaryaS pic.twitter.com/0ONmZCfN72
2018-03-29 06:24:00.000,Pagi ini krl 06.14 di stasiun kalideres ada yang pingsan @CommuterLine @LAPOR1708 jangan sampai ada korban yg lain lagi
2018-03-29 01:55:00.000,@gibransesunan  Terima kasih atas masukan dan saran guna peningkatan pelayanan kepada pengguna jasa bandara. perihal taksi pihak manajemen telah menyediakan taksi resmi bandara baik argo maupun fixed price. Tks -Rahman
